"","m1ac2","age.group","n","n.uW","freq","freq.uW"
"1",1,"[5,15)",511664,277,0.0161976135187696,0.0192014418411202
"2",1,"[15,25)",2870651,1375,0.0908754484295741,0.0953140163593512
"3",1,"[25,35)",3021924,1437,0.0956642582536478,0.0996118120061001
"4",1,"[35,45)",3482753,1605,0.110252601463725,0.111257451823097
"5",1,"[45,55)",3098482,1335,0.0980878348503401,0.0925412449743519
"6",1,"[55,65)",1693056,734,0.0535966312924772,0.0508803549147373
"7",1,"[65,75)",644699,285,0.0204090677435529,0.0197559961181201
"8",1,"[75,85)",199712,87,0.0063222305869878,0.00603077776237349
"9",1,"[85,95)",21171,10,0.000670204813717346,0.000693192846249827
"10",2,"[5,15)",395992,222,0.012535815246968,0.0153888811867462
"11",2,"[15,25)",2410184,1158,0.0762985649588837,0.0802717315957299
"12",2,"[25,35)",3276047,1514,0.103708963646699,0.104949396922224
"13",2,"[35,45)",3577437,1623,0.11324998810498,0.112505198946347
"14",2,"[45,55)",3678231,1578,0.116440797419317,0.109385831138223
"15",2,"[55,65)",1787117,785,0.0565742957855605,0.0544156384306114
"16",2,"[65,75)",700936,306,0.0221893477543707,0.0212117010952447
"17",2,"[75,85)",199593,86,0.0063184634350898,0.00596145847774851
"18",2,"[85,95)",19202,9,0.000607872695337985,0.000623873561624844
