"","sex","age.group","n","freq"
"1","2","[15,25)",33633.15,0.00356498455416091
"2","2","[25,35)",179194.28,0.0189939045374574
"3","2","[35,45)",351189.23,0.0372247077819848
"4","2","[45,55)",512734.17,0.0543478501549963
"5","2","[55,65)",346638.33,0.0367423298837645
"6","2","[65,75)",180658.07,0.0191490606480368
"7","2","[75,85)",54705.53,0.00579857579433346
"8","2","[85,95]",5584.26,0.000591910084140754
"9","1","[15,25)",220756.41,0.0233993304784718
"10","1","[25,35)",1589365.32,0.168466611563859
"11","1","[35,45)",2360452.79,0.250198917947799
"12","1","[45,55)",2045674.27,0.216833605398079
"13","1","[55,65)",1002668.45,0.106278999653451
"14","1","[65,75)",409105.29,0.0433635874093125
"15","1","[75,85)",132394.78,0.0140333375182382
"16","1","[85,95]",9550.22,0.00101228659191419
