"","sex","age.group","n","freq"
"1","2","[15,25)",470284.76,0.0203917902014545
"2","2","[25,35)",845018.72,0.0366404483414296
"3","2","[35,45)",1105312,0.0479268994622537
"4","2","[45,55)",1383470.58,0.0599879992225234
"5","2","[55,65)",977159.17,0.042370126533693
"6","2","[65,75)",750003.87,0.032520555348889
"7","2","[75,85)",501003.95,0.0217237901532255
"8","2","[85,95]",150667.29,0.00653301154794322
"9","1","[15,25)",670160.7,0.0290585142407334
"10","1","[25,35)",3504970.51,0.151977332419203
"11","1","[35,45)",4830683.21,0.20946092011999
"12","1","[45,55)",4063308.7,0.176187164844859
"13","1","[55,65)",1990807.58,0.0863224453686855
"14","1","[65,75)",1075506.93,0.0466345362260313
"15","1","[75,85)",620069.73,0.026886543898281
"16","1","[85,95]",124028.09,0.00537792207080476
