"","sex","age.group","n","freq"
"1","2","[15,25)",8226007.45,0.127866234345797
"2","2","[25,35)",7218626.29,0.112207357756753
"3","2","[35,45)",6265799.55,0.0973964828616933
"4","2","[45,55)",5214407.64,0.0810534968906151
"5","2","[55,65)",2726277.36,0.0423776445528747
"6","2","[65,75)",1771365.33,0.0275343556123085
"7","2","[75,85)",1198429.68,0.0186285620626125
"8","2","[85,95]",448452.77,0.00697081388880113
"9","1","[15,25)",8415439.47,0.130810792712555
"10","1","[25,35)",7186251.77,0.111704123595307
"11","1","[35,45)",6276597.57,0.0975643288263588
"12","1","[45,55)",4815282.78,0.0748494430780948
"13","1","[55,65)",2311031.84,0.0359230088995406
"14","1","[65,75)",1283051.22,0.0199439313629822
"15","1","[75,85)",783401.68,0.0121773075712168
"16","1","[85,95]",192491.54,0.00299211598248957
