"","V1","V2"
"1",1,"Ha Noi City"
"2",2," Ha Giang Province"
"3",4," Cao Bang Province"
"4",6," Bac Kan Province"
"5",8," Tuyen Quang Province"
"6",10," Lao Cai Province"
"7",11," Dien Bien Province"
"8",12," Lai Chau Province"
"9",14," Son La Province"
"10",15," Yen Bai Province"
"11",17," Hoa Binh Province"
"12",19," Thai Nguyen Province"
"13",20," Lang Son Province"
"14",22," Quang Ninh Province"
"15",24," Bac Giang Province"
"16",25," Phu Tho Province"
"17",26," Vinh Phuc Province"
"18",27," Bac Ninh Province"
"19",30," Hai Duong Province"
"20",31," Hai Phong City"
"21",33," Hung Yen Province"
"22",34," Thai Binh Province"
"23",35," Ha Nam Province"
"24",36," Nam Dinh Province"
"25",37," Ninh Binh Province"
"26",38," Thanh Hoa Province"
"27",40," Nghe An Province"
"28",42," Ha Tinh Province"
"29",44," Quang Binh Province"
"30",45," Quang Tri Province"
"31",46," Thua Thien - Hue Province"
"32",48," Da Nang City"
"33",49," Quang Nam Province"
"34",51," Quang Ngai Province"
"35",52," Binh Dinh Province"
"36",54," Phu Yen Province"
"37",56," Khanh Hoa Province"
"38",58," Ninh Thuan Province"
"39",60," Binh Thuan Province"
"40",62," Kon Tum Province"
"41",64," Gia Lai Province"
"42",66," Dak Lak Province"
"43",67," Dak Nong Province"
"44",68," Lam Dong Province"
"45",70," Binh Phuoc Province"
"46",72," Tay Ninh Province"
"47",74," Binh Duong Province"
"48",75," Dong Nai Province"
"49",77," Ba Ria - Vung Tau Province"
"50",79," Ho Chi Minh City"
"51",80," Long An Province"
"52",82," Tien Giang Province"
"53",83," Ben Tre Province"
"54",84," Tra Vinh Province"
"55",86," Vinh Long Province"
"56",87," Dong Thap Province"
"57",89," An Giang Province"
"58",91," Kien Giang Province"
"59",92," Can Tho Province"
"60",93," Hau Giang Province"
"61",94," Soc Trang Province"
"62",95," Bac Lieu Province"
"63",96," Ca Mau Province"
